證券代碼	年月日	當日均價(元)	當日成交量
0050 元大台灣50	20191211	93.4668	1936.77
006208 富邦台50	20191211	51.7978	901.076
0050 元大台灣50	20191212	95.6269	8420.11
006208 富邦台50	20191212	52.8339	1321.43
0050 元大台灣50	20191213	97.0155	5880.14
006208 富邦台50	20191213	53.7029	815.398
006208 富邦台50	20191216	53.6113	1086.11
0050 元大台灣50	20191216	96.8774	4482.45
006208 富邦台50	20191217	53.9847	750.492
0050 元大台灣50	20191217	97.5516	4703.22
006208 富邦台50	20191218	54.1726	703.226
0050 元大台灣50	20191218	98.0718	3762.36
006208 富邦台50	20191219	54.0844	844.87
0050 元大台灣50	20191219	97.8113	2271.01
006208 富邦台50	20191220	53.6976	519.672
0050 元大台灣50	20191220	97.1493	3353.49
0050 元大台灣50	20191223	97.0444	3416.73
006208 富邦台50	20191223	53.6562	359.74
0050 元大台灣50	20191224	97.2491	1409.73
006208 富邦台50	20191224	53.7579	843.26
0050 元大台灣50	20191225	97.1964	1789.17
006208 富邦台50	20191225	53.618	395.936
0050 元大台灣50	20191226	97.3092	3095.97
006208 富邦台50	20191226	53.7456	914.659
0050 元大台灣50	20191227	98.0487	2978.05
006208 富邦台50	20191227	54.1053	438.876
0050 元大台灣50	20191230	98.0072	3138.76
006208 富邦台50	20191230	54.1339	1051.86
006208 富邦台50	20191231	53.6522	785.063
0050 元大台灣50	20191231	97.0406	4303.95
006208 富邦台50	20200102	53.9915	651.303
0050 元大台灣50	20200102	97.6338	4882.02
0050 元大台灣50	20200103	97.6963	6813.55
006208 富邦台50	20200103	54.1102	751.165
0050 元大台灣50	20200106	96.662	9321.77
006208 富邦台50	20200106	53.687	934.168
006208 富邦台50	20200107	53.1726	883.763
0050 元大台灣50	20200107	95.981	6328.6
006208 富邦台50	20200108	53.0518	1029.7
0050 元大台灣50	20200108	95.5424	8517
006208 富邦台50	20200109	53.6173	468.834
0050 元大台灣50	20200109	96.7465	7163.94
0050 元大台灣50	20200110	97.2681	9071.92
006208 富邦台50	20200110	53.7824	1058.26
0050 元大台灣50	20200113	97.8525	6650.9
006208 富邦台50	20200113	54.1698	791.505
0050 元大台灣50	20200114	98.6322	11545
006208 富邦台50	20200114	54.5608	546.115
0050 元大台灣50	20200115	97.9317	10259.4
006208 富邦台50	20200115	54.1793	1028.89
0050 元大台灣50	20200116	97.233	8686.5
